127.0.0.1 - - [10/Oct/2021:19:45:30 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:45:32 -0300] "GET /HelloJSP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:47:28 -0300] "GET /HelloJSP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:47:44 -0300] "GET /HelloJSP/hello.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:48:52 -0300] "GET /HelloJSP/hello.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:54:31 -0300] "GET /HelloJSP/hello.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [10/Oct/2021:19:54:31 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:09:44 -0300] "GET /HelloJSP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:09:52 -0300] "GET /HelloJSP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:09:53 -0300] "GET /HelloJSP/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2021:20:09:58 -0300] "GET /HelloJSP/hello.jsp HTTP/1.1" 200 184
